site1,1,2,3,4,5,6,7,8
1,0.0,10000.0,20.0,20.0,20.0,20.0,10000.0,10000.0
2,10000.0,0.0,10000.0,20.0,20.0,10000.0,10000.0,10000.0
3,20.0,10000.0,0.0,10000.0,10000.0,10000.0,10000.0,20.0
4,20.0,20.0,10000.0,0.0,10000.0,10000.0,20.0,20.0
5,20.0,20.0,10000.0,10000.0,0.0,10000.0,20.0,20.0
6,20.0,10000.0,10000.0,10000.0,10000.0,0.0,10000.0,20.0
7,10000.0,10000.0,10000.0,20.0,20.0,10000.0,0.0,10000.0
8,10000.0,10000.0,20.0,20.0,20.0,20.0,10000.0,0.0
