,p,r2_train,rmse_train,r2_test,rmse_test,model
0,0.01,0.986544510455058,0.19969164384648663,,1.8007217358675027,MEI
1,0.01,0.9867281417421893,0.19776610190235974,0.40149743114151887,1.3971711566521834,VC
2,0.01,0.986331517364406,0.20071433295251895,0.30853641101249824,1.497313389948912,CN
3,0.01,0.9865733898162203,0.1988724421692291,0.5865039732497309,1.158910279207681,LER
4,0.01,0.987920389106501,0.2096326147780126,,1.798851462750397,MEI
5,0.01,0.9878695088817158,0.20972389243621126,0.38215333780882843,1.4143856837590305,VC
6,0.01,0.9808429706607648,0.26298255210704413,0.3068352210585485,1.4996478365510455,CN
7,0.01,0.987737305599589,0.2108991224734381,0.6493271500310632,1.084773610972945,LER
8,0.01,0.9885747514074955,0.19454070180259725,,1.7998549363445253,MEI
9,0.01,0.9887112579030242,0.19161885876519322,0.42981515804284925,1.3596504493788808,VC
10,0.01,0.9886260164054589,0.19227369165697492,0.2249521453065742,1.5913163782306776,CN
11,0.01,0.9889281806848884,0.18980459561904445,0.6052906446247498,1.13302685145352,LER
12,0.01666238802381732,0.9890412270929626,0.20047905480233758,,1.7980696628688244,MEI
13,0.01666238802381732,0.9892819633742849,0.1971679143029941,0.523633065917293,1.2592436117950832,VC
14,0.01666238802381732,0.9891368224442345,0.19845281745180285,0.34337050561951166,1.4692574301651082,CN
15,0.01666238802381732,0.9779196454350142,0.2831277289874779,0.7495651791455583,0.9578784397380069,LER
16,0.01666238802381732,0.9883704433655284,0.19872555519548996,,1.7992587565811777,MEI
17,0.01666238802381732,0.9884894143410742,0.1971162395175955,0.519079647831971,1.2486956681428345,VC
18,0.01666238802381732,0.9884439257741524,0.19766091468190153,0.35476691776238783,1.447557033303177,CN
19,0.01666238802381732,0.9889270529230276,0.19343708752893804,0.7812849707717925,0.843604370411662,LER
20,0.01666238802381732,0.987490991855234,0.200138288394737,,1.8002653448994246,MEI
21,0.01666238802381732,0.9874745637232775,0.19871222702105315,0.4164139856130323,1.3758091778894928,VC
22,0.01666238802381732,0.9875060720431267,0.19846376912125477,0.4070847322403218,1.3860401472921489,CN
23,0.01666238802381732,0.9879318563701196,0.1950506437930304,0.7866518731552763,0.8321449262128369,LER
24,0.02776351746562508,0.988217239991221,0.1988893075361109,,1.7994190188487962,MEI
25,0.02776351746562508,0.9884709022642056,0.1949492763412588,0.6146827065593135,1.1178826094801928,VC
26,0.02776351746562508,0.9882517719622373,0.1966364606960463,0.41949745476034506,1.3808274758443055,CN
27,0.02776351746562508,0.9867997479060631,0.20842509591976727,0.8435446147230727,0.7166717471188143,LER
28,0.02776351746562508,0.9881655322605657,0.1991602317630099,0.3806938901451566,1.4969956837852434,MEI
29,0.02776351746562508,0.9883707177750047,0.1966158085028457,0.6254194120827439,1.1029163000660658,VC
30,0.02776351746562508,0.9881660903300791,0.19840899856082175,0.4087162863658977,1.3946867869290158,CN
31,0.02776351746562508,0.985522407600161,0.2194959097322491,0.8328195526832703,0.7404307289432905,LER
32,0.02776351746562508,0.9880503811594616,0.19952790683400293,0.39765676726407884,1.4916354533408482,MEI
33,0.02776351746562508,0.9883129771265828,0.1959415250465544,0.6201556908670818,1.110051650002112,VC
34,0.02776351746562508,0.9882175429836833,0.1966443324011059,0.453106716355693,1.3328461242579626,CN
35,0.02776351746562508,0.9852259290651427,0.22021816434537417,0.8296117110558137,0.7559483424381265,LER
36,0.04626065009182741,0.9871870091323676,0.20164286014852642,0.56581259504951,1.3893330515890658,MEI
37,0.04626065009182741,0.9875775170398963,0.1970818735428683,0.7018786744761197,0.9854576562418379,VC
38,0.04626065009182741,0.9872362615253005,0.19975008412521425,0.5411739421651101,1.2224903162999323,CN
39,0.04626065009182741,0.9878887027217785,0.1945856830654753,0.8698508032181108,0.6500605860914457,LER
40,0.04626065009182741,0.9880827108703687,0.20138366216781664,,1.7979550231123609,MEI
