d,n,emp_cor,pred_cor,d_jittered,seq
0,9745.0,1.0,1.0,-0.08601303467632623,00000000
1,4342.0,0.7244781944240297,0.7179117070197467,1.0170602899614574,00000001
1,4344.0,0.5527867200969298,0.5135876873867274,0.9816895239425029,00000010
2,12942.0,0.45200056351171175,0.4367798139840125,1.9528730743176757,00000011
1,4302.0,0.42383164662705836,0.44181590913750973,1.0211990910897588,00000100
2,13292.0,0.1772336053583636,0.17376976519289422,2.035242946118606,00000101
2,13022.0,0.20414210127067078,0.21674779899140037,1.994176303546356,00000110
3,39666.0,0.14025979418363071,0.14038225739418586,3.017669500488164,00000111
1,4348.0,0.6178483774224199,0.6489372586303959,1.0162928495710097,00001000
2,13140.0,0.3793312922070622,0.37624815101912523,2.0035109378071567,00001001
2,12854.0,0.15157966865672795,0.17242094076624706,1.9885450704227094,00001010
3,38710.0,0.0854355777255438,0.09650775154577251,3.0086922084408116,00001011
2,13034.0,0.3190010503222697,0.33121854414741964,1.9392349814790395,00001100
3,39378.0,0.07416837376758476,0.06422060449378993,2.9976629162754254,00001101
3,39166.0,0.10200238924248808,0.10678953804952285,2.956659140137551,00001110
4,117904.0,0.037852536027959606,0.030748095978851787,3.9919147590330013,00001111
1,4300.0,0.7387150514361568,0.7328334989629303,1.0336087618125769,00010000
2,12912.0,0.4239642671846731,0.450745210522477,1.9871440544851593,00010001
2,13058.0,0.23898251740012685,0.24642118635310498,1.9650084735302282,00010010
3,39708.0,0.16223044870077094,0.169613317486743,3.045986980529645,00010011
2,13152.0,0.3589855346393797,0.3579903986085349,2.051051392772135,00010100
3,39356.0,0.10697430315062276,0.0899442546639197,2.97543190395869,00010101
3,38990.0,0.13109256455813242,0.13292228846242551,2.9412109524167516,00010110
4,118142.0,0.061724087512368006,0.056556746865211206,3.9806645587307967,00010111
2,13328.0,0.5974731622880766,0.6226255401865722,2.033476013518439,00011000
3,39072.0,0.3569992422971728,0.34993643257530177,3.0301158964028447,00011001
3,39406.0,0.14743960722252197,0.14610922232242346,3.0266881208111918,00011010
4,117280.0,0.07266320355217495,0.07019603310194932,4.074822344249424,00011011
3,39230.0,0.34288795923197607,0.33380936928192034,2.982198864053832,00011100
4,117320.0,0.07132738503366809,0.06681142962829074,4.010237093938167,00011101
4,117290.0,0.0993297520209621,0.10938036318402371,4.036231846255818,00011110
5,353094.0,0.04166708353273325,0.03333892111335263,4.998173316955776,00011111
1,4322.0,0.5022724763307914,0.5116617982499136,1.0792356726190857,00100000
2,13124.0,0.24869571237208266,0.24204152449262592,2.1004820853305852,00100001
2,13128.0,0.18933277707393473,0.18256348458272614,1.9113220309117458,00100010
3,39176.0,0.11511201214372942,0.10615676490468233,3.0060587777508463,00100011
2,12832.0,0.34342411332227857,0.3478780555493764,1.969714587884737,00100100
3,39028.0,0.06966963179700777,0.08126704861828933,2.992141166168644,00100101
3,38928.0,0.1342481905726551,0.1385779162924432,2.973109100056196,00100110
4,117198.0,0.05866777548702976,0.06229476641780877,3.8832456797890704,00100111
2,13010.0,0.3818044085645391,0.3825613573953425,2.054199188957088,00101000
3,39178.0,0.12043831659724544,0.1147747010259376,2.9629848773330942,00101001
3,39036.0,0.059019326141981826,0.0548254573097189,3.116498047480611,00101010
4,117266.0,-0.015388552328643576,-0.021200233923969455,3.982379743680395,00101011
3,39114.0,0.27203527152204676,0.28386371267825633,2.888388717180616,00101100
4,117678.0,0.0053593945954163984,0.01783596517771632,4.039284459697033,00101101
4,117896.0,0.07117776409338135,0.07490606281546414,4.051105448448811,00101110
5,351614.0,0.0026226437437947003,-0.0011559352686485234,4.9825180835533915,00101111
2,13018.0,0.4465247052529156,0.4309277972821905,2.0283128531668995,00110000
3,38782.0,0.1737285298430418,0.16130752352490385,3.015254452049601,00110001
3,39100.0,0.09692061017901568,0.101829483615003,3.050301846771341,00110010
4,117566.0,0.03176724607680145,0.025422763936960264,3.989262943396347,00110011
3,39114.0,0.2953939255366943,0.3066168224731529,3.0888211734185425,00110100
4,116722.0,0.026650504313404648,0.04000581554206588,4.029177942367317,00110101
4,117024.0,0.0880772409804509,0.09731668321621978,4.104622366316367,00110110
5,352372.0,0.02464573811573132,0.021033533341585333,4.955464032563094,00110111
3,39032.0,0.39050947663270025,0.39000508685593155,3.0697159159389593,00111000
4,116762.0,0.12070673991099191,0.12221843048652678,3.9721994909983613,00111001
4,117062.0,0.0573611611916963,0.06226918677030805,3.969953697451036,00111010
5,351734.0,-0.013061901797828988,-0.013756504463380332,5.01573543447706,00111011
4,117344.0,0.29253466984048737,0.29920372606749335,4.017659696100396,00111100
5,351806.0,0.023763693003976055,0.03317597856695335,5.0584293267649105,00111101
5,352582.0,0.08922849797416041,0.09024607620470118,5.010713253688975,00111110
6,1055180.0,0.018685530103360805,0.014184078120588544,6.005278262741445,00111111
1,4442.0,0.4531081422204312,0.43855835766795964,0.9372079251073093,01000000
2,12984.0,0.388760599272527,0.40048437144379895,1.9070202135700898,01000001
2,12898.0,0.33858449994041867,0.342189986646466,1.9232380383288257,01000010
3,39628.0,0.3335960745662985,0.33901345559303436,2.9881067295627304,01000011
2,12960.0,0.10797905417042086,0.09835724074127805,1.945773132553511,01000100
3,39376.0,0.07907148556816375,0.06267774410172057,2.957696993805973,01000101
3,39290.0,0.09667185687257183,0.09335177594565036,2.9534721049888684,01000110
4,117552.0,0.08207599436662784,0.09054319007726043,4.014601894633799,01000111
2,12804.0,0.07512904641093943,0.09404339110369861,2.023054707321262,01001000
3,39424.0,0.0613826031938655,0.05990980440389918,2.884635730891276,01001001
3,39316.0,0.014670403569066287,0.002069061036715626,3.034015532409913,01001010
4,117758.0,-0.0001289248195255324,-0.00029928489979742963,3.952185164941106,01001011
3,39424.0,0.004441525854869039,-0.011936068439736608,2.979684576830995,01001100
4,116946.0,-0.03301518955971356,-0.046849797141322785,4.002382561409741,01001101
4,116996.0,-0.013547733241723536,-0.01656513706008668,3.993688344783746,01001110
5,351406.0,-0.024515423496825794,-0.019057160085585115,5.005780024407102,01001111
2,13072.0,0.17553649534077745,0.1733029377245458,1.9881574298350304,01010000
3,39172.0,0.13285299706165693,0.13522895150038558,2.9587767615412024,01010001
3,39478.0,0.07778474009433449,0.07693456670305213,2.9529310948612695,01010010
4,117872.0,0.06855534235896746,0.07375803564962093,4.051188346098499,01010011
3,39620.0,0.022508124849616867,0.014654760896781688,3.0116334854694893,01010100
4,117028.0,-0.008252997598453141,-0.021024735742775837,4.030622298922814,01010101
4,117470.0,0.014458574262232734,0.009649296101154057,4.0277102975054015,01010110
5,352780.0,0.0017717050087873761,0.006840710232764041,4.943604511853031,01010111
3,39298.0,0.06282543383600608,0.06837143581865003,3.03562179149072,01011000
4,117032.0,0.0405474792227423,0.034237849118850444,4.006355160282994,01011001
4,117612.0,-0.008937062813735644,-0.023602894248332968,3.9389866472834134,01011010
5,353050.0,-0.026232522356890144,-0.025971240184846135,4.992357267680009,01011011
4,117280.0,-0.005487805636808137,-0.009268007593007473,3.9795480784423103,01011100
5,351484.0,-0.03379180639087087,-0.04418173629459363,5.04330106012161,01011101
5,353156.0,-0.014492839927870605,-0.01389707621335752,5.059335629081978,01011110
6,1058388.0,-0.02795593755126546,-0.01638909923885596,6.013768449423116,01011111
2,13006.0,0.10433476697359217,0.12266499662183192,1.977583749015408,01100000
3,39128.0,0.0979577244897398,0.0867998864214423,2.9795881771891075,01100001
3,38760.0,0.060231747044876535,0.056268455801187105,2.8447006024889454,01100010
4,117356.0,0.04679494392925401,0.05342364366572291,4.021465003990266,01100011
3,39218.0,0.029707550479267056,0.030090332923934007,3.0636910830894686,01100100
4,116570.0,-0.0014131020359184926,-0.005333604475609536,3.979804948203073,01100101
4,117586.0,0.03136484680410236,0.027815703155366404,4.02072883758127,01100110
5,351712.0,0.02034152194796563,0.025081991535020463,4.982033067672718,01100111
3,39056.0,-0.0083185429832437,-0.005496126636802384,2.966103077243847,01101000
4,118286.0,-0.028266439166502816,-0.04034995050223112,4.007445476227819,01101001
4,117248.0,-0.06797445042294953,-0.07133028950018991,4.045362570207674,01101010
5,351182.0,-0.07928168612162882,-0.07380999451117001,5.008399981391858,01101011
4,117488.0,-0.03868167657418151,-0.03375001941937909,4.081598259497247,01101100
5,352692.0,-0.06224213407239995,-0.06874478634535064,5.083547019684134,01101101
5,350828.0,-0.028936772646053176,-0.03583078059945374,4.904750728876857,01101110
6,1054704.0,-0.044434673363589215,-0.03834804454448585,6.104161750053717,01101111
3,38844.0,0.04991568679061575,0.04222764892399868,3.037948676990365,01110000
4,117102.0,0.020727397219818255,0.006362538723608954,4.02331035521623,01110001
4,117122.0,-0.017310507409932525,-0.024168891896646214,4.040901898780416,01110010
5,351732.0,-0.03497060520851032,-0.027013704032110376,4.981862149561707,01110011
4,117404.0,-0.009619218821239901,-0.011069872150571557,3.972635330313188,01110100
5,352190.0,-0.04394280642629725,-0.04649380955011514,5.000996827649312,01110101
5,351770.0,-0.008988775965444607,-0.013344501919139204,5.038363034779145,01110110
6,1056450.0,-0.02187037177036691,-0.016078213539485107,5.94991514923887,01110111
4,117214.0,0.006886416019076769,0.002079158509831058,4.014803209972037,01111000
5,352542.0,-0.026644596586506197,-0.03277466535559766,4.9905340070779065,01111001
5,351496.0,-0.0640555112970446,-0.06375500435355644,5.044852829435482,01111010
6,1057392.0,-0.07245724669831514,-0.06623470936453657,6.066914473025029,01111011
5,351382.0,-0.016954532101691233,-0.018336547239172094,4.9747903201995465,01111100
6,1056310.0,-0.04697305112982326,-0.05333131416514363,6.024376408474547,01111101
6,1053036.0,-0.013240371767496666,-0.02041730841924675,6.046312363932853,01111110
7,3166680.0,-0.02778454483234168,-0.022934572364278868,7.084183033837386,01111111
1,4320.0,0.7038472937699509,0.7064130413491864,0.9939533872443579,10000000
2,12954.0,0.6062958075854349,0.618652424947729,2.0314747643309716,10000001
2,12832.0,0.3891988898258402,0.398155582904564,1.994432093419627,10000010
3,39400.0,0.37379518986635174,0.378355308273708,3.018676785765291,10000011
2,12936.0,0.182344954514173,0.15287638972084622,1.9467172186652508,10000100
3,38878.0,0.08135814740346103,0.07526519042141946,2.932718268243928,10000101
3,39218.0,0.10423307325401308,0.1020411611447244,3.0046598537400158,10000110
4,117488.0,0.07983928530320666,0.08266279997066278,3.9443491174975414,10000111
2,13104.0,0.37000197955036773,0.3599362788637059,2.0998460726128942,10001000
3,39180.0,0.2798612597116305,0.2777477926560835,3.0101449290406666,10001001
3,38850.0,0.04989790302851735,0.05775717555556297,2.9713527776874598,10001010
4,117212.0,0.025105236696179464,0.03880299767822126,3.966912683708742,10001011
3,38884.0,0.06266843327771983,0.042885908147760644,2.924549284455213,10001100
4,117646.0,-0.019558149668837704,-0.034185430922076473,3.926067978190188,10001101
4,117748.0,-0.004779208050510841,-0.007799362863818692,3.997379578870626,10001110
5,352436.0,-0.02673780997452448,-0.026875390218324455,5.007092573535629,10001111
2,12852.0,0.4383073368001192,0.4409525582296928,1.9942319059689484,10010000
3,39000.0,0.33929184588465233,0.35319194182823693,3.0113546754069818,10010001
3,38666.0,0.1349114329561962,0.13269509978507033,3.024758024882736,10010010
4,116936.0,0.09510024958914809,0.11289482515421582,3.9588073931232177,10010011
3,39334.0,0.07789430112765752,0.0698175193336169,2.9785999006142205,10010100
4,117602.0,0.008410537395807379,-0.007793679965809911,3.9719229449063156,10010101
4,116896.0,0.016213079291964156,0.018982290757495166,3.9675881484751656,10010110
5,351408.0,0.0012699902756249514,-0.0003960704165666164,4.986844115892492,10010111
3,38926.0,0.3366716246483298,0.3343726318404565,2.9675150845675287,10011000
4,117070.0,0.2533808319172858,0.2521841456328339,4.009748535972231,10011001
4,117612.0,0.03299782079104366,0.032193528532313526,3.9039739875831745,10011010
5,352430.0,0.006621007167057232,0.013239350654971739,4.89102908248793,10011011
4,117328.0,0.06442202652421976,0.04611619563035299,3.8851699698562467,10011100
5,351458.0,-0.02186235794586392,-0.030955143439484117,4.9338784932982405,10011101
5,351976.0,-0.00308093682596283,-0.004569075381226336,4.998607400361514,10011110
6,1054632.0,-0.025645986185981857,-0.023645102735732084,5.97068397096227,10011111
2,13042.0,0.2223903597911162,0.2212048622154781,1.9445420635300203,10100000
3,39442.0,0.16728681431441403,0.14329145042806674,2.979221156375636,10100001
3,39380.0,0.06615031020088401,0.06762759477212346,3.056841454766037,10100010
4,118276.0,0.04176201368826475,0.048220019816122554,4.00141733383413,10100011
3,39228.0,0.05577102936753514,0.059102803362902634,2.99491981545468,10100100
4,117674.0,-0.024917539030412952,-0.01721410633305771,3.968216466594771,10100101
