p,r2_train,rmse_train,mae_train,r2_test,rmse_test,mae_test,model,dataset
0.01,0.4858692178908832,1.4814729401344593,1.176121942384214,0.3668751375805347,1.6204960578496446,1.3214313024724846,MEI,intron.30C
0.01,0.9861906034220993,0.27564651617504926,0.1540380321985955,0.4402232045708283,1.490309459645778,1.2014014620581728,VC,intron.30C
0.01,0.9265215100487201,0.5841857990103089,0.3949631494491757,0.4315377245859047,1.5378753104099583,1.216915990354176,CN,intron.30C
0.01,0.4136198683743645,1.5427918351018566,1.24288619855402,0.34683216215076856,1.6147655737447673,1.3015853274230476,LER,intron.30C
0.01,0.35095097785917234,1.6679080424527328,1.340964086685054,0.3595551405139169,1.6444989116037527,1.3406923701178974,Additive,intron.30C
0.01,0.6965007301655964,1.1186793957409105,0.8413718404201962,0.3656604395301338,1.7698423148122293,1.399153186903833,Pairwise,intron.30C
0.01,0.49720643981305457,1.4771996983928886,1.1811063302022193,0.35989590299736995,1.611026540191391,1.3077326123674535,MEI,intron.30C
0.01,0.9870800571814627,0.2760919764508119,0.16356659300610463,0.4594571658590556,1.461626324866621,1.1747546686705388,VC,intron.30C
0.01,0.8857958770619906,0.7253426439896636,0.5120036208291078,0.435530709762962,1.5260603909038843,1.205681015483319,CN,intron.30C
0.01,0.4481160669671919,1.5070791631280231,1.2161937806485505,0.399948077397102,1.5453701660106998,1.2450261716148525,LER,intron.30C
0.01,0.3686523385347852,1.6501527519695207,1.331796556907205,0.349281937312364,1.6329173018793464,1.3261294158595593,Additive,intron.30C
0.01,0.6751271430283844,1.1622673930969123,0.8714928197329919,0.35189753647215943,1.7564086448797123,1.3969258668238962,Pairwise,intron.30C
0.01,0.4852768966945375,1.443940602641246,1.1656118818860342,0.3527854035628548,1.636871834463912,1.3272504578532354,MEI,intron.30C
0.01,0.9876910974664161,0.260678721548111,0.1560409357958192,0.43839341125088743,1.4932251804457577,1.2030376991609304,VC,intron.30C
0.01,0.9036699481703644,0.6474054529266277,0.4572664468782478,0.4484666908899169,1.506372013068481,1.1901136272796373,CN,intron.30C
0.01,0.3561643947610853,1.5717453113755206,1.2891777362913481,0.35600565827847824,1.598572882073833,1.3003777060638568,LER,intron.30C
0.01,0.36662244228013674,1.6057601949591884,1.3087338076750854,0.3451416079396847,1.6587282203814588,1.3435301351326006,Additive,intron.30C
0.01,0.6517134527513022,1.1610494576222707,0.86060502045544,0.36511927046396414,1.7680212460949492,1.395827332817335,Pairwise,intron.30C
0.0166623880238173,0.5801447711986456,1.3385525097734545,1.082394441472769,0.3843339725785837,1.5884353671485298,1.2945531101632066,MEI,intron.30C
0.0166623880238173,0.9875715025447533,0.2529550564943643,0.1503452498899091,0.5048874070644095,1.3985136211828353,1.1185602922989055,VC,intron.30C
0.0166623880238173,0.9182804453694173,0.5950101361004437,0.4176192796791327,0.4860005063100158,1.4476624503047173,1.143266178121914,CN,intron.30C
0.0166623880238173,0.4871313952735046,1.4193043938405139,1.1388987134573951,0.42298331066297634,1.517125315993505,1.2259060823383034,LER,intron.30C
0.0166623880238173,0.3760889938033122,1.6130575096859063,1.3212715015528818,0.37126825727292,1.6234817533139947,1.3246032877132117,Additive,intron.30C
0.0166623880238173,0.6591534290084355,1.1645830753190207,0.8778270928008443,0.45205241905002713,1.5242185974397864,1.2050197021270552,Pairwise,intron.30C
0.0166623880238173,0.5759607284472839,1.355262297957997,1.0986402497907517,0.3837876210131593,1.609033506999748,1.3140730884768745,MEI,intron.30C
0.0166623880238173,0.9887932076985774,0.2485978627780415,0.1619777248874905,0.5089559688382446,1.3960803349700626,1.115984146817353,VC,intron.30C
0.0166623880238173,0.9300332769804065,0.5565091508582563,0.39146132274199696,0.4743772075827938,1.467303838135558,1.1574478672982476,CN,intron.30C
0.0166623880238173,0.4796380097509835,1.4304777728483602,1.1697670514985858,0.44040337995306095,1.491025096356905,1.204331023497529,LER,intron.30C
0.0166623880238173,0.3576236868781619,1.6472580505469567,1.3489408119879918,0.3673793622085002,1.654851608364899,1.3510036009447592,Additive,intron.30C
0.0166623880238173,0.633100995145713,1.2104440615500849,0.9386559056841757,0.4432356066458257,1.5415831550033827,1.2177973957720447,Pairwise,intron.30C
0.0166623880238173,0.5896425120527763,1.338758231799611,1.084634377483829,0.3887565696663992,1.5894800023950364,1.297477392385645,MEI,intron.30C
0.0166623880238173,0.9861017021829931,0.26554579201274425,0.15563056735554853,0.5147973486063855,1.3865429591906258,1.110766902575656,VC,intron.30C
0.0166623880238173,0.906677203185143,0.639530682239248,0.45464530716900686,0.4924265452710506,1.4394366316587583,1.1314439170584183,CN,intron.30C
0.0166623880238173,0.42899528351471494,1.509212848593247,1.2081810795547738,0.4080569845572632,1.539853526033883,1.2419784247615897,LER,intron.30C
0.0166623880238173,0.3785846721094573,1.6214770630446043,1.3335725910457707,0.371375937151021,1.633113252864365,1.3332191609280128,Additive,intron.30C
0.0166623880238173,0.6352532823242307,1.2164123380540577,0.9392156736844397,0.46637549466270606,1.523586551421834,1.1987131390107733,Pairwise,intron.30C
0.027763517465625,0.6593074084569152,1.2354721429986801,0.9797430348660993,0.396821221828135,1.567794828335686,1.2749197781149622,MEI,intron.30C
0.027763517465625,0.9807717874639137,0.3111815824397248,0.19605036063941259,0.5372502640175122,1.352219834803371,1.0717300282752813,VC,intron.30C
0.027763517465625,0.9097547979858918,0.6280713601495262,0.45283987902318573,0.5067483513816341,1.4139710445658118,1.1099465234319874,CN,intron.30C
0.027763517465625,0.5434348404344862,1.3494798599131332,1.0683984066096588,0.4624368968340111,1.4621613376828992,1.1674996043489534,LER,intron.30C
0.027763517465625,0.37889887924818483,1.622328838803204,1.318825781254119,0.36214155313980817,1.6340436346338687,1.329502853142009,Additive,intron.30C
0.027763517465625,0.6141223152465507,1.2538809007947946,0.9828316847493432,0.49525668219319535,1.4377998097159486,1.1337652700132288,Pairwise,intron.30C
0.027763517465625,0.6577713200755422,1.2246019313825378,0.9717448574216653,0.40565517608790536,1.5651405986214362,1.2739905251414543,MEI,intron.30C
0.027763517465625,0.9843271831025541,0.28278946286304163,0.165903164314124,0.5516119843715815,1.3341721105292117,1.0624753617481704,VC,intron.30C
0.027763517465625,0.8760819130830702,0.7205648305200527,0.515469492541955,0.5235185531248434,1.3917446202068495,1.0932723616831528,CN,intron.30C
0.027763517465625,0.5144641591715515,1.3715422572852858,1.0917684584607474,0.4810804432485532,1.4403638045980802,1.1548245531775916,LER,intron.30C
0.027763517465625,0.3748548028614645,1.6077403010510547,1.3123043692474037,0.3705729693665015,1.6350470977353166,1.3329753934484936,Additive,intron.30C
0.027763517465625,0.5949709222479062,1.2681805294497086,0.9703507274754363,0.5032373459744882,1.4401273238167216,1.1301314785570649,Pairwise,intron.30C
0.027763517465625,0.6554897802676851,1.2198196016036493,0.9650207997567305,0.39612550240212724,1.5751426388386516,1.2780577686022427,MEI,intron.30C
