k,decay_rates,relaxation_time
1,1.5340474856046122,0.6518703034840354
2,1.9738038180541457,0.5066359639459203
3,2.1007253007795392,0.476026065677849
4,2.163001769621622,0.46232047243074237
5,2.406319651262061,0.4155723864348289
6,2.532475138798883,0.3948706088677679
7,2.7100890473071693,0.36899156542240996
8,2.757515338211478,0.3626453083117206
9,2.7730088620764475,0.36061911437642985
10,2.87175149549381,0.34821954530854893
11,2.911539001299654,0.3434609667099151
12,3.0013356383266396,0.3331849951168869
13,3.060637087019437,0.3267293610997302
14,3.1047329406587,0.3220888943149616
15,3.1468524174095984,0.31777785143898557
16,3.1928675554787054,0.31319808373638297
17,3.2299641268338157,0.30960096172345225
18,3.3048207538796426,0.3025882716410763
19,3.3512004570226575,0.29840053223448193
20,3.3651772489647453,0.29716116745637616
