d,n,emp_cor,pred_cor,d_jittered,seq
0,65209.0,1.0,1.0,0.0563125443774309,00000000
1,194654.0,0.4142232376052936,0.36960339741799086,1.020600527303941,00000001
1,194650.0,0.5413498790451087,0.48354699933851586,1.0372899623927487,00000010
2,583950.0,0.2384763412363331,0.1984101824820422,2.0039507082295205,00000011
1,194648.0,0.5762407482727194,0.5267139134685601,0.9055112889292133,00000100
2,583956.0,0.2576821627140512,0.24883085226169488,1.9320326469779476,00000101
2,583954.0,0.3835602671889558,0.3427638387181929,1.962284376674831,00000110
3,1751868.0,0.13439292774991243,0.1172696086693512,2.937278089074013,00000111
1,194646.0,0.6895258099982846,0.6626639720901092,1.0612349253880082,00001000
2,583954.0,0.32593464720462173,0.30426234242012057,2.0820869381569738,00001001
2,583954.0,0.4454033743453247,0.41335228038701916,1.9963441840256162,00001010
3,1751856.0,0.18687303144006606,0.15708809599645357,2.992121248310666,00001011
2,583948.0,0.5145246856977815,0.4899434430581341,2.111821588443478,00001100
3,1751870.0,0.2354912816518473,0.2322672130372802,3.026283401232878,00001101
3,1751864.0,0.3458180415436176,0.3264277965569228,2.952659125614033,00001110
4,5255574.0,0.1212812921766609,0.10432650548026728,4.0311139579059665,00001111
1,194652.0,0.594796839840734,0.5591670583276641,1.0270884210475273,00010000
2,583956.0,0.20705216170988394,0.17422003736471342,1.9888442649580134,00010001
2,583954.0,0.33933521570085534,0.30887201662452074,2.0591286172957584,00010010
3,1751852.0,0.06195661802972435,0.048830918450570845,3.058197699916889,00010011
2,583966.0,0.3529089293545431,0.29443563703459524,1.9854227220188114,00010100
3,1751874.0,0.0737210309260205,0.06273375878946631,2.9757607867630966,00010101
3,1751852.0,0.19881804696460417,0.18347725475137533,2.989107446101728,00010110
4,5255558.0,-0.03331782281259376,-0.031062218483271658,4.099479333569119,00010111
2,583964.0,0.4545526197800335,0.4107229881687993,1.9485584704403212,00011000
3,1751848.0,0.1357646344034628,0.11647424227136562,2.9740547916715707,00011001
3,1751848.0,0.2594395024006022,0.25066765060741375,3.093707526503331,00011010
4,5255608.0,0.015017150434577442,0.008339014095799378,4.085904268002784,00011011
3,1751848.0,0.3083190597316376,0.27758419734219064,3.113437507739356,00011100
4,5255564.0,0.05565205581496884,0.04806035035230286,3.970888799375324,00011101
4,5255596.0,0.16692970159608927,0.1697416619912249,4.040632264309457,00011110
5,15766740.0,-0.04570594011672294,-0.04369166351124241,4.942181679674659,00011111
1,194650.0,0.7130131493368299,0.6786901768146876,0.984697507102995,00100000
2,583950.0,0.35425698205119693,0.340105737034299,2.004732002657127,00100001
2,583954.0,0.45605583921596904,0.3809274240808813,2.081344430120686,00100010
3,1751868.0,0.1980761335879017,0.17566694454559603,2.9493952775805323,00100011
2,583946.0,0.49053533485493583,0.4545129060412033,1.9897040590424708,00100100
3,1751860.0,0.21891151540624543,0.22726938629684643,3.015120638665196,00100101
3,1751866.0,0.3207844340732324,0.28970461432017164,2.999884739590867,00100110
4,5255590.0,0.10255353641450413,0.09731674910056488,3.9989218581480572,00100111
2,583958.0,0.5829761202646228,0.5525487993283715,1.9925228755536544,00101000
3,1751868.0,0.2859979829597027,0.280858620143832,2.9569002566998237,00101001
3,1751844.0,0.38432386987144346,0.3407324535024942,3.004453645856395,00101010
4,5255592.0,0.15207359423478678,0.135960732026946,3.999805618876011,00101011
3,1751850.0,0.45496472324724463,0.43298095778293166,2.996956382212949,00101100
4,5255570.0,0.20229143500490307,0.21172536470917963,3.9633322817256924,00101101
4,5255560.0,0.2965632031833725,0.2773767391854243,3.9899943891207483,00101110
5,15766738.0,0.09100288398873041,0.08476150433119505,5.0235727081483486,00101111
2,583954.0,0.515881959579605,0.4802595353581211,2.027715310588776,00110000
3,1751858.0,0.19676294119742244,0.17577940521330687,3.045631278695005,00110001
3,1751836.0,0.3028369020378168,0.26099778687373587,3.086565661633158,00110010
4,5255540.0,0.05826549525202284,0.04967506039142745,3.976202122791617,00110011
3,1751844.0,0.32309266366745854,0.2787247665828276,3.0507665195886666,00110100
4,5255562.0,0.06931637710328127,0.06515794480699204,3.992067686898591,00110101
4,5255562.0,0.17742914091970705,0.1655750238461814,4.053715141550551,00110110
5,15766770.0,-0.03323434268702643,-0.029085290441350782,4.956905800799716,00110111
3,1751854.0,0.4071606960336054,0.37409713120198756,3.0460592161795046,00111000
4,5255542.0,0.13280595524650637,0.11836014080300013,4.0182696894383545,00111001
