d,cov,cor,d_jittered,seq
0,3.765352140225598,1.0,0.04750442087627947,00000000
1,2.581544461600129,0.6856050551079289,0.9924321395851151,00000001
1,1.815043080733206,0.4820380705812178,0.9948390574103221,00000010
2,1.5097997680682416,0.40097173168451206,2.0205299250969184,00000011
1,1.8150430807332059,0.4820380705812177,1.0072021785580438,00000100
2,0.8201807024429912,0.21782310708231684,2.0727136753481488,00000101
2,0.7652500050559461,0.20323464487709159,2.0380518862573496,00000110
3,0.4695507343201242,0.12470300700533986,3.0060837508246414,00000111
1,2.5815444616001266,0.6856050551079282,1.0221931616372713,00001000
2,1.567583222098622,0.4163178273160666,2.0166837163687132,00001001
2,0.820180702442991,0.21782310708231678,2.07470395365788,00001010
3,0.5266867304929914,0.13987715116106922,2.98974208681171,00001011
2,1.5097997680682413,0.400971731684512,2.015653385082545,00001100
3,0.5266867304929916,0.13987715116106927,2.957295213034914,00001101
3,0.46955073432012406,0.12470300700533983,2.872350509208296,00001110
4,0.17568030980738128,0.04665707303457029,4.032680929772018,00001111
1,2.5815444616001266,0.6856050551079282,1.0432218099429753,00010000
2,1.567583222098622,0.4163178273160666,1.962891748979678,00010001
2,0.8201807024429912,0.21782310708231684,2.1134877311993803,00010010
3,0.5266867304929915,0.13987715116106925,2.9272817162700617,00010011
2,1.5097997680682413,0.400971731684512,2.002287925865072,00010100
3,0.5266867304929916,0.13987715116106927,2.9906408074987083,00010101
3,0.4695507343201241,0.12470300700533984,3.076638960717923,00010110
4,0.17568030980738128,0.04665707303457029,4.073467938495014,00010111
2,2.2589726366007805,0.5999366201285589,2.0077473712848457,00011000
3,1.2669528168702247,0.3364765816549408,3.0189081259801087,00011001
3,0.5252018552366344,0.13948279886650056,2.9556107126184945,00011010
4,0.232537259371034,0.06175710815645034,3.9009601765888036,00011011
3,1.3906419396534704,0.3693258659122786,2.9826043925336925,00011100
4,0.4110148773027311,0.10915708863238101,4.007817448455199,00011101
4,0.3533556749320894,0.09384399168331661,4.061514534036386,00011110
5,0.059929057423033436,0.015915923714758546,5.060118992439221,00011111
1,1.8150430807332059,0.4820380705812177,0.9806336591296024,00100000
2,0.8201807024429912,0.21782310708231684,1.9848848624712332,00100001
2,0.7652500050559463,0.20323464487709164,1.9475723517466454,00100010
3,0.4695507343201242,0.12470300700533986,2.9289991031410514,00100011
2,1.2947968713496296,0.3438713892167475,1.9146864904687493,00100100
3,0.3164691563580476,0.08404769184193397,3.0975387697615897,00100101
3,0.43825644137906855,0.11639188714838522,2.974517390912417,00100110
4,0.14390992417195134,0.0382195127607186,3.978096284919441,00100111
2,1.5097997680682418,0.4009717316845121,1.9373602319975036,00101000
3,0.5266867304929916,0.13987715116106927,3.0388745177915957,00101001
3,0.4695507343201242,0.12470300700533986,2.9193051076221024,00101010
4,0.17568030980738128,0.04665707303457029,3.9893629859893016,00101011
3,1.1771109158680864,0.3126164225897769,2.9552266719403164,00101100
4,0.20085367874230828,0.05334260150506781,4.019345124892963,00101101
4,0.3219890672637345,0.0855136665237485,3.9744597431215563,00101110
5,0.028170077683967287,0.007481392612134147,4.94096839079388,00101111
2,1.5097997680682418,0.4009717316845121,1.9985908885830672,00110000
3,0.5266867304929916,0.13987715116106927,3.0214165935265207,00110001
3,0.4695507343201242,0.12470300700533986,3.0033258611191584,00110010
4,0.1756803098073813,0.0466570730345703,4.0151235948869894,00110011
3,1.1771109158680864,0.3126164225897769,2.9682838953159516,00110100
4,0.20085367874230828,0.05334260150506781,3.9818629417006433,00110101
4,0.3219890672637345,0.0855136665237485,3.9663769776112026,00110110
5,0.028170077683967287,0.007481392612134147,4.982022341922973,00110111
3,1.3906419396534708,0.36932586591227873,2.959342685897777,00111000
4,0.41101487730273123,0.10915708863238104,3.913685869883416,00111001
4,0.35335567493208947,0.09384399168331663,4.008871307112687,00111010
5,0.05992905742303344,0.015915923714758546,4.979910953189587,00111011
4,1.1367475069209854,0.3018967322543379,3.9184900826516977,00111100
5,0.161477583739702,0.04288512142453354,5.023139112776288,00111101
5,0.28233382550163966,0.07498205081151424,4.954635081780838,00111110
6,-0.011261380033056373,-0.0029907906654333947,6.002597269789807,00111111
1,1.815043080733206,0.4820380705812178,1.0364545281088768,01000000
2,1.5097997680682411,0.40097173168451195,2.0064491455378706,01000001
2,1.2947968713496285,0.34387138921674715,2.056970034227165,01000010
3,1.177110915868085,0.31261642258977657,2.9382587089823176,01000011
2,0.7652500050559465,0.2032346448770917,2.0201170820588774,01000100
3,0.4695507343201241,0.12470300700533984,2.9657594954529842,01000101
3,0.43825644137906883,0.11639188714838529,2.956460142540906,01000110
4,0.3219890672637344,0.08551366652374848,3.971057516761779,01000111
2,0.8201807024429921,0.21782310708231706,1.9844223733936315,01001000
3,0.526686730492992,0.13987715116106936,3.002808267111487,01001001
3,0.31646915635804757,0.08404769184193396,2.941742507960832,01001010
4,0.20085367874230817,0.05334260150506778,4.045041324347709,01001011
3,0.4695507343201242,0.12470300700533986,3.023283121986523,01001100
4,0.1756803098073814,0.04665707303457032,3.9231878156861386,01001101
4,0.1439099241719514,0.03821951276071862,4.07441260968978,01001110
5,0.028170077683967263,0.007481392612134141,5.0947944588015295,01001111
2,0.8201807024429919,0.217823107082317,2.0589389785579826,01010000
3,0.526686730492992,0.13987715116106936,2.9910037582093825,01010001
3,0.3164691563580476,0.08404769184193397,2.9464623689244727,01010010
4,0.20085367874230828,0.05334260150506781,4.052722586346557,01010011
3,0.4695507343201242,0.12470300700533986,2.979841152651341,01010100
4,0.17568030980738134,0.046657073034570305,4.061122253519121,01010101
