site1,1,2,3,4,5,6,7,8
1,0.0,23455.910623343243,0.7350871644885383,116.36855488246381,5.758048533936384,2.817344595086471,5094.555110878999,6839.691411344614
2,23455.910623343243,0.0,5889.465496841014,7.916703112773844,2.8038944165501736,8453.720899034322,12485.695593975332,11326.124220228832
3,0.7350871644885383,5889.465496841014,0.0,6450.870466731282,8344.765303561568,15274.57399118307,3600.6033113169065,29.033960482575278
4,116.36855488246381,7.916703112773844,6450.870466731282,0.0,15543.554949710186,5569.120065391266,1.6468494045195823e-10,8.669307405776123e-07
5,5.758048533936384,2.8038944165501736,8344.765303561568,15543.554949710186,0.0,11556.198790165126,26.70549098062087,76.35814342760452
6,2.817344595086471,8453.720899034322,15274.57399118307,5569.120065391266,11556.198790165126,0.0,17608.208676434508,35.38317704131087
7,5094.555110878999,12485.695593975332,3600.6033113169065,1.6468494045195823e-10,26.70549098062087,17608.208676434508,0.0,7761.485013693764
8,6839.691411344614,11326.124220228832,29.033960482575278,8.669307405776123e-07,76.35814342760452,35.38317704131087,7761.485013693764,0.0
